Acceptance,受け入れ
Dashboard,ダッシュボード
Data-to-Information-to-Knowledge-to-Wisdom (DIKW),データ・情報・知識・知恵（DIKW）
Definitive Media Library (DML),確定版メディア・ライブラリ（DML）
Deliverable,成果物
Demand Management,需要管理
Deming Cycle,デミング・サイクル
Dependency,依存関係
Deployment,展開
Depreciation,減価償却
Design,設計
Detection,検出
Development,開発
Development Environment,開発環境
Diagnosis,診断
Diagnostic Script,診断マニュアル
Differential Charging,格差課金
Direct Cost,直接費
Directory Service,ディレクトリ・サービス
Do Nothing,何もしない
Document,文書
Downtime,休止時間
Driver,推進要因
Early Life Support,初期サポート
Economies of scale,規模の経済
Economies of scope,範囲の経済
Effectiveness,有効性
Efficiency,効率性
Emergency Change,緊急の変更
Emergency Change Advisory Board (ECAB),緊急変更諮問委員会（ECAB）
Environment,環境
Error,エラー
Escalation,エスカレーション
eSourcing Capability Model for Client Organizations (eSCM-CL),クライアント組織向けeソーシング能力モデル（eSCM-CL）
eSourcing Capability Model for Service Providers (eSCM-SP),サービス・プロバイダ向けeソーシング能力モデル（eSCM-SP）
Estimation,見積もり
Evaluation,評価
Event,イベント
Event Management,イベント管理
Exception Report,例外レポート
Expanded Incident Lifecycle,拡張版インシデント・ライフサイクル
External Customer,外部顧客
External Metric,外部測定基準
External Service Provider,外部サービス・プロバイダ
External Sourcing,外部ソーシング
Facilities Management,施設管理
Failure,障害
Failure Modes and Effects Analysis (FMEA),故障モード影響解析（FMEA）
Fast Recovery,高速復旧
Fault,誤り
Fault Tolerance,耐障害性
Fault Tree Analysis (FTA),故障樹解析（FTA）
Financial Management,財務管理
First-line Support,1次サポート
Fishbone Diagram,フィッシュボーン・ダイアグラム
Fit for Purpose,目的に適した
Fixed Cost,固定費
Fixed Facility,固定設備
Follow the Sun,フォロー・ザ・サン
Fulfilment,履行
Function,機能
Functional Escalation,機能的エスカレーション
Gap Analysis,ギャップ分析
Governance,ガバナンス
Gradual Recovery,段階的復旧
Guideline,指針
Help Desk,ヘルプデスク
Hierarchic Escalation,階層的エスカレーション
High Availability,高可用性
Hot Standby,ホット・スタンバイ
Identity,ID
Immediate Recovery,即時的復旧
Impact,インパクト
Incident,インシデント
Incident Management,インシデント管理
Incident Record,インシデント・レコード
Indirect Cost,間接費
Information Security Management (ISM),情報セキュリティ管理（ISM）
Information Security Management System (ISMS),情報セキュリティ管理システム（ISMS）
Information Security Policy,情報セキュリティ方針
Information Technology (IT),情報技術（IT）
Infrastructure Service,インフラストラクチャ・サービス
Insourcing,インソーシング
Integrity,完全性
Interactive Voice Response (IVR),音声自動応答（IVR）
Intermediate Recovery,中間的復旧
Internal Customer,内部顧客
Internal Metric,内部測定基準
Internal Rate of Return (IRR),内部収益率（IRR）
Internal Service Provider,内部サービス・プロバイダ
Internal Sourcing,内部ソーシング
International Organization for Standardization (ISO),国際標準化機構（ISO）
International Standards Organisation,International Standards Organisation
Internet Service Provider (ISP),インターネット・サービス・プロバイダ（ISP）
Invocation,発動
Ishikawa Diagram,石川ダイアグラム
ISO 9000,ISO 9000
ISO 9001,ISO 9001
ISO/IEC 17799,ISO/IEC 17799
ISO/IEC 20000,ISO/IEC 20000
ISO/IEC 27001,ISO/IEC 27001
IT Directorate,IT担当役員
IT Infrastructure,ITインフラストラクチャ
IT Operations,IT運用
IT Operations Control,IT運用コントロール
IT Operations Management,IT運用管理
IT Service,ITサービス
IT Service Continuity Management (ITSCM),ITサービス継続性管理（ITSCM）
IT Service Continuity Plan,ITサービス継続性計画
IT Service Management (ITSM),ITサービスマネジメント（ITSM）
IT Service Management Forum (itSMF),ITサービスマネジメントフォーラム（itSMF）
IT Service Provider,ITサービス・プロバイダ
IT Steering Group (ISG),IT運営グループ（ISG）
ITIL,ITIL
Job Description,職務記述書
Job Scheduling,ジョブ・スケジューリング
Kano Model,狩野モデル
Kepner & Tregoe Analysis,ケプナー・トリゴー分析
Key Performance Indicator (KPI),重要業績評価指標（KPI）
Knowledge Base,知識ベース
Knowledge Management,知識管理
Known Error,既知のエラー
Known Error Database (KEDB),既知のエラー・データベース（KEDB）
Known Error Record,既知のエラー・レコード
Lifecycle,ライフサイクル
Line of Service (LOS),サービス・ライン（LOS）
Live,稼動中
Live Environment,稼働環境
Maintainability,保守性
Major Incident,重大なインシデント
Managed Services,マネージド・サービス
Management Information,管理情報
Management of Risk (MoR),リスクの管理（MoR）
Management System,管理の仕組み
Manual Workaround,手作業のワークアラウンド
Marginal Cost,限界費用
Market Space,市場空間
Maturity,成熟度
Maturity Level,成熟度レベル
Mean Time Between Failures (MTBF),平均故障間隔（MTBF）
Mean Time Between Service Incidents (MTBSI),平均サービス・インシデント間隔（MTBSI）
Mean Time To Repair (MTTR),平均修理時間（MTTR）
Mean Time to Restore Service (MTRS),平均サービス回復時間（MTRS）
Metric,測定基準
Middleware,ミドルウェア
Mission Statement,ミッション・ステートメント
Model,モデル
Modelling,モデル化
Monitor Control Loop,モニタ・コントロール・ループ
Monitoring,モニタリング
Near-Shore,ニアショア
Net Present Value (NPV),正味現在価値（NPV）
Notional Charging,概念上の課金
Objective,達成目標
Off the Shelf,既製
Office of Government Commerce (OGC),Office of Government Commerce (OGC)
Office of Public Sector Information (OPSI),Office of Public Sector Information（OPSI）
Off-shore,オフショア
On-shore,オンショア
Operate,運用する
Operation,運用
Operational,運用上
Operational Cost,運用コスト
Operational Expenditure (OPEX),運用支出（OPEX）
Operational Level Agreement (OLA),オペレーショナルレベル・アグリーメント（OLA）
Operations Bridge,運用統制室
Operations Control,運用コントロール
Operations Management,運用管理
Opportunity Cost,機会費用
Optimise,最適化
Organisation,組織
Outcome,成果
Outsourcing,アウトソーシング
Overhead,オーバヘッド
Pain Value Analysis,痛みの値分析
Pareto Principle,パレートの法則
Partnership,パートナシップ
Passive Monitoring,受動的モニタリング
Pattern of Business Activity (PBA),事業活動パターン（PBA）
Percentage utilisation,使用率
Performance,パフォーマンス
Performance Anatomy,パフォーマンス構造
Performance Management,パフォーマンス管理
Pilot,パイロット
Plan,計画
Plan-Do-Check-Act,計画・実施・点検・処置
Planned Downtime,計画休止時間
Planning,計画立案
PMBOK,PMBOK
Policy,方針
Portable Facility,移動設備
Post Implementation Review (PIR),実施後のレビュー（PIR）
Practice,慣例
Prerequisite for Success (PFS),成功の必須条件（PFS）
Pricing,価格設定
PRINCE2,PRINCE2
Priority,優先度
Proactive Monitoring,プロアクティブなモニタリング
Proactive Problem Management,プロアクティブな問題管理
Problem,問題
Problem Management,問題管理
Problem Record,問題レコード
Procedure,手順
Process,プロセス
Process Control,プロセス・コントロール
Process Manager,プロセス・マネージャ
Process Owner,プロセス・オーナ
Production Environment,本番環境
Profit Centre,プロフィット・センタ
pro-forma,雛型
Programme,プログラム
Project,プロジェクト
Projected Service Outage (PSO),サービスの計画停止（PSO）
PRojects IN Controlled Environments (PRINCE2),PRojects IN Controlled Environments（PRINCE2）
Qualification,検定
Quality,品質
Quality Assurance (QA),品質保証（QA）
Quality Management System (QMS),品質管理システム（QMS）
Quick Win,即効性のある成果
RACI,RACI
Reactive Monitoring,リアクティブなモニタリング
Reciprocal Arrangement,相互協定
Record,レコード
Recovery,復旧
Recovery Option,復旧オプション
Recovery Point Objective (RPO),目標復旧時点（RPO）
Recovery Time Objective (RTO),目標復旧時間（RTO）
Redundancy,冗長性
Relationship,関係
Relationship Processes,関係プロセス
Release,リリース
Release and Deployment Management,リリース管理および展開管理
Release Identification,リリースID
Release Management,リリース管理
Release Process,リリース・プロセス
Release Record,リリース・レコード
Release Unit,リリース・ユニット
Release Window,リリース時間帯
Reliability,信頼性
Remediation,修復
Repair,修理
Request for Change (RFC),変更要求（RFC）
Request Fulfilment,要求実現
Requirement,要件
Resilience,対障害弾力性
Resolution,解決
Resolution Processes,解決プロセス
Resource,リソース
Response Time,応答時間
Responsiveness,反応性
Restoration of Service,サービスの回復
Restore,回復
Retire,廃止する
Return on Investment (ROI),投資収益率（ROI）
Return to Normal,平常復帰
Review,レビュー
Rights,権限
Risk,リスク
Risk Assessment,リスク・アセスメント
Risk Management,リスク管理
Role,役割
Rollout,投入
Root Cause,根本原因
Root Cause Analysis (RCA),根本原因分析（RCA）
Running Costs,ランニングコスト
Scalability,スケーラビリティ
Scope,適用範囲
Second-line Support,2次サポート
Security,セキュリティ
情報セキュリティ管理を参照。,Security Management
セキュリティ管理,情報セキュリティ管理の同義語。
Security Policy,セキュリティ方針
Separation of Concerns (SoC),関心事の分離（SoC）
Server,サーバ
Service,サービス
Service Acceptance Criteria (SAC),サービス受け入れ基準（SAC）
Service Analytics,サービス分析論
Service Asset,サービス資産
Service Asset and Configuration Management (SACM),サービス資産管理および構成管理（SACM）
Service Capacity Management (SCM),サービス・キャパシティ管理（SCM）
Service Catalogue,サービス・カタログ
Service Continuity Management,サービス継続性管理
Service Contract,サービス契約
Service Culture,サービス・カルチャ
Service Design,サービスデザイン
Service Design Package,サービスデザイン・パッケージ
Service Desk,サービスデスク
Service Failure Analysis (SFA),サービス障害分析（SFA）
Service Hours,サービス時間
Service Improvement Plan (SIP),サービス改善計画（SIP）
Service Knowledge Management System (SKMS),サービス知識管理システム（SKMS）
Service Level,サービスレベル
Service Level Agreement (SLA),サービスレベル・アグリーメント（SLA）
Service Level Management (SLM),サービスレベル管理（SLM）
Service Level Package (SLP),サービスレベル・パッケージ（SLP）
Service Level Requirement (SLR),サービスレベル要件（SLR）
Service Level Target,サービスレベル目標値
Service Maintenance Objective,サービス・メンテナンス目標
Service Management,サービスマネジメント
Service Management Lifecycle,サービスマネジメント・ライフサイクル
Service Manager,サービス・マネージャ
Service Operation,サービスオペレーション
Service Owner,サービス・オーナ
Service Package,サービス・パッケージ
Service Pipeline,サービス・パイプライン
Service Portfolio,サービス・ポートフォリオ
Service Portfolio Management (SPM),サービス・ポートフォリオ管理（SPM）
Service Potential,サービス潜在力
Service Provider,サービス・プロバイダ
Service Provider Interface (SPI),サービス・プロバイダ・インタフェース（SPI）
Service Provisioning Optimization (SPO),サービス供給の最適化（SPO）
Service Reporting,サービス報告
Service Request,サービス要求
Service Sourcing,サービス・ソーシング
Service Strategy,サービスストラテジ
Service Transition,サービストランジション
Service Utility,サービス有用性
Service Validation and Testing,サービスの妥当性確認およびテスト
Service Valuation,サービス査定
Service Warranty,サービス保証
Serviceability,サービス性
Shift,シフト
Simulation modelling,シミュレーション・モデル化
Single Point of Contact,単一窓口
Single Point of Failure (SPOF),単一障害点（SPOF）
SLAM Chart,SLAMチャート
SMART,SMART
Snapshot,スナップショット
Source,ソーシングする
Specification,仕様
Stakeholder,利害関係者
Standard,標準
Standard Change,標準的な変更
Standard Operating Procedures (SOP),標準運用手順（SOP）
Standby,スタンバイ
Statement of requirements (SOR),要件記述書（SOR）
Status,ステータス
Status Accounting,ステータスの説明
Storage Management,ストレージ管理
Strategic,戦略的
Strategy,戦略
Super User,スーパー・ユーザ
Supplier,サプライヤ
Supplier and Contract Database (SCD),サプライヤ契約データベース（SCD）
Supplier Management,サプライヤ管理
Supply Chain,サプライ・チェーン
Support Group,サポート・グループ
Support Hours,サポート時間
Supporting Service,補助サービス
SWOT Analysis,SWOT分析
System,システム
System Management,システム管理
Tactical,戦術的
Tag,タグ
Technical Management,技術管理
Technical Observation (TO),技術観察（TO）
Technical Service,技術サービス
Technical Support,技術サポート
Tension Metrics,対立バランスの測定基準
Terms of Reference (TOR),委任事項（TOR）
Test,テスト
Test Environment,テスト環境
Third Party,サードパーティ
Third-line Support,3次サポート
Threat,脅威
Threshold,しきい値
Throughput,スループット
Total Cost of Ownership (TCO),総所有コスト（TCO）
Total Cost of Utilization (TCU),総利用コスト（TCU）
Total Quality Management (TQM),総合的品質管理（TQM）
Transaction,トランザクション
Transition,移行
Transition Planning and Support,移行の計画立案およびサポート
Trend Analysis,傾向分析
Tuning,チューニング
Type I Service Provider,タイプIサービス・プロバイダ
Type II Service Provider,タイプIIサービス・プロバイダ
Type III Service Provider,タイプIIIサービス・プロバイダ
Underpinning Contract (UC),外部委託契約（UC）
Unit Cost,単位コスト
Urgency,緊急度
Usability,ユーザビリティ
Use Case,ユース・ケース
User,ユーザ
User Profile (UP),ユーザ・プロファイル（UP）
Utility,有用性
Validation,妥当性確認
Value Chain,バリュー・チェーン
Value for Money,投資に見合う価値（VMF）
Value Network,バリュー・ネットワーク
Value on Investment (VOI),投資価値（VOI）
Variable Cost,変動費
Variable Cost Dynamics,変動費力学
Variance,差異
Verification,検証
Verification and Audit,検証と監査
Version,バージョン
Vision,ビジョン
Vital Business Function (VBF),重要事業機能（VBF）
Vulnerability,脆弱性
Warm Standby,ウォーム・スタンバイ
Warranty,保証
Work in Progress (WIP),処理中の作業（WIP）
Work Instruction,作業指示書
Workaround,ワークアラウンド
Workload,作業負荷
